"id","study_env_Campus Common Spaces","study_env_Classroom","study_env_Coffee shop","study_env_Home","study_env_Library","study_env_Other","study_env_Park or outdoor space","background_noise_Comfortable with some ambient noise","background_noise_Like listening to music","background_noise_Prefer a bustling environment","background_noise_Prefer complete silence","study_time_Afternoon","study_time_Early morning","study_time_Evening","study_time_Late morning","study_time_Night","study_time_No specific preference","resources_Interactive simulations or applications","resources_Lecture notes","resources_Online articles and resources","resources_Other","resources_Textbooks","resources_Videos and multimedia","consumed_beverages_Coffee","consumed_beverages_Energy drinks","consumed_beverages_Soft drinks/sodas","consumed_beverages_Tea","consumed_beverages_Water","manage_stress_Engaging in a hobby or creative activity","manage_stress_Exercise","manage_stress_Hanging out with friends/family","manage_stress_Listening to music","manage_stress_Meditation","manage_stress_Other","manage_stress_Spending time in nature","manage_stress_Taking short breaks between study sessions","manage_stress_Watching movies or TV shows","timestamp","gender","age","academic_level","field_of_study","university","employment_status","hours_spend_studying","attendance","help_from_professors","extracurricular_activities","gpa","studying_in_groups","breaks","avg_sleep","eating_habits","eat_freq","caffeine_freq","physical_activity_freq","academic_goals","future_plans"
46,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,"11/18/2023 23:03:45","Female","18-24","Graduate student","English Literature","RHUL","Employed part-time","11 to 20 hours","Yes, always","Frequently","No",3.62,"Enjoy occasional group study sessions","10 to 20 minutes","5 to 6 hours","Somewhat healthy","Three times (breakfast, lunch, dinner)","Multiple times a day","Rarely","Pursue advanced coursework or certifications","Yes, but after gaining work experience"
47,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0,0,1,1,"11/18/2023 17:42:31","Female","18-24","Freshman","English and Communications","AUA","Unemployed","21 to 30 hours","Yes, always","Rarely","Yes",3.7,"Prefer studying alone","41 to one hour","5 to 6 hours","Neutral","Four or more times","Occasionally","Several times a week","Maintain current academic standing","Undecided"
48,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,"11/19/2023 4:52:19","Female","18-24","Senior","Data Science","AUA","Employed full-time","Less than 10 hours","Yes, always","Occasionally","No",3.7,"Prefer studying alone","21 to 40 minutes","5 to 6 hours","Somewhat unhealthy","Two times","Daily","Rarely","Explore new academic interests","Yes, but after gaining work experience"
49,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,"11/18/2023 18:40:13","Female","18-24","Senior","English and Communications","AUA","Employed full-time","11 to 20 hours","Yes, most of the time","Rarely","No",3.74,"Prefer studying alone","10 to 20 minutes","5 to 6 hours","Neutral","One time","Multiple times a day","Rarely","Improve grades in specific subjects","Undecided"
50,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,"11/18/2023 16:35:39","Female","18-24","Junior","Politics and Governance","AUA","Employed part-time","11 to 20 hours","Yes, always","Occasionally","No",3.8,"Prefer studying alone","21 to 40 minutes","5 to 6 hours","Somewhat healthy","Two times","I don't consume caffeinated beverages","Daily","Maintain current academic standing","Yes, immediately after graduation"
51,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,"11/18/2023 19:00:20","Female","18-24","Junior","English and Communications","AUA","Unemployed","11 to 20 hours","Yes, always","Rarely","Yes",3.8,"Prefer studying alone","10 to 20 minutes","5 to 6 hours","Somewhat healthy","Two times","Daily","Several times a week","Maintain current academic standing","Yes, immediately after graduation"
52,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1,0,"11/18/2023 19:44:00","Female","18-24","Junior","English and Communications","AUA","Unemployed","31 to 40 hours","Yes, always","Always","Yes",3.8,"Enjoy occasional group study sessions","10 to 20 minutes","5 to 6 hours","Somewhat unhealthy","Two times","Daily","Daily","Maintain current academic standing","Yes, immediately after graduation"
53,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"11/18/2023 23:44:09","Female","18-24","Senior","English and Communications","AUA","Employed full-time","21 to 30 hours","Yes, always","Frequently","No",3.8,"Prefer studying alone","21 to 40 minutes","5 to 6 hours","Somewhat healthy","Two times","Multiple times a day","Rarely","Explore new academic interests","Yes, immediately after graduation"
54,0,1,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0,"11/19/2023 8:33:09","Male","Under 18","Senior","Computer Science",NA,"Unemployed","11 to 20 hours","Yes, most of the time","Always","Yes",3.8,"Prefer studying alone","21 to 40 minutes","7 to 8 hours","Neutral","I don't have regular meal times","Multiple times a day","Rarely","Explore new academic interests","Yes, immediately after graduation"
55,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,0,1,"11/19/2023 10:54:15","Female","18-24","Freshman","Business","AUA","Unemployed","11 to 20 hours","Yes, always","Rarely","Yes",3.8,"Enjoy occasional group study sessions","10 to 20 minutes","5 to 6 hours","Unhealthy","Two times","Multiple times a day","Several times a week","Explore new academic interests","Undecided"
56,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,"11/19/2023 15:47:53","Female","18-24","Sophomore","English and Communications","AUA","Unemployed","11 to 20 hours","Yes, most of the time","Rarely","Yes",3.8,"Prefer studying alone","21 to 40 minutes","5 to 6 hours","Somewhat unhealthy","I don't have regular meal times","Daily","Never","Improve grades in specific subjects","Undecided"
57,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"11/19/2023 16:34:16","Female","18-24","Graduate student","Design","SAFA","Unemployed","more than 51 hours","Yes, always","Never","No",3.8,"Prefer studying alone","21 to 40 minutes","5 to 6 hours","Neutral","I don't have regular meal times","Daily","Rarely","Maintain current academic standing","Undecided"
58,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,0,1,"11/16/2023 15:08:39","Male","18-24","Senior","Data Science","AUA","Employed part-time","11 to 20 hours","Yes, most of the time","Always","Yes",3.83,"Prefer studying alone","21 to 40 minutes","7 to 8 hours","Neutral","I don't have regular meal times","Daily","Several times a week","Pursue advanced coursework or certifications","Yes, immediately after graduation"
59,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,"11/17/2023 17:29:18","Female","18-24","Senior","Data Science","AUA","Unemployed","21 to 30 hours","Yes, always","Rarely","No",3.84,"Prefer studying alone","41 to one hour","5 to 6 hours","Neutral","Two times","Daily","Once a week","Maintain current academic standing","Yes, but after gaining work experience"
60,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,"11/19/2023 4:47:56","Female","18-24","Senior","Data Science","AUA","Employed part-time","21 to 30 hours","Yes, most of the time","Frequently","No",3.88,"Prefer studying alone","41 to one hour","7 to 8 hours","Somewhat unhealthy","Two times","Multiple times a day","Several times a week","Pursue advanced coursework or certifications","Yes, but after gaining work experience"
61,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,"11/19/2023 15:20:26","Female","18-24","Junior","Interior Design","SAFA","Unemployed","31 to 40 hours","Yes, always","Frequently","No",3.88,"Prefer studying alone","10 to 20 minutes","7 to 8 hours","Somewhat healthy","I don't have regular meal times","Daily","Never","Explore new academic interests","Undecided"
62,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,1,"11/19/2023 13:58:39","Female","18-24","Sophomore","Politics and Governance","AUA","Unemployed","21 to 30 hours","Yes, always","Occasionally","Yes",3.89,"Prefer studying alone","10 to 20 minutes","More than 8 hours","Somewhat healthy","Three times (breakfast, lunch, dinner)","Multiple times a day","Several times a week","Improve grades in specific subjects","Yes, immediately after graduation"
63,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,"11/18/2023 18:05:56","Male","18-24","Sophomore","Computer Science","AUA","Employed full-time","21 to 30 hours","Yes, always","Occasionally","No",3.9,"Prefer studying alone","Less than 10 minutes","5 to 6 hours","Somewhat unhealthy","Two times","Rarely or never","Several times a week","Maintain current academic standing","Yes, immediately after graduation"
64,1,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,"11/18/2023 19:11:36","Female","18-24","Junior","Data Science","AUA","Unemployed","31 to 40 hours","Yes, most of the time","Occasionally","No",3.9,"Prefer studying alone","10 to 20 minutes","5 to 6 hours","Unhealthy","I don't have regular meal times","Multiple times a day","Never","Other","Yes, but after gaining work experience"
65,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,"11/18/2023 17:54:16","Male","18-24","Sophomore","Politics and Governance","AUA","Employed part-time","11 to 20 hours","Yes, always","Occasionally","No",3.94,"Prefer studying alone","10 to 20 minutes","5 to 6 hours","Neutral","Two times","Daily","Never","Improve grades in specific subjects","Yes, immediately after graduation"
66,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,"11/18/2023 23:53:06","Female","18-24","Sophomore","Data Science","AUA","Unemployed","21 to 30 hours","Yes, always","Occasionally","No",3.97,"Prefer studying alone","21 to 40 minutes","5 to 6 hours","Somewhat healthy","Two times","Daily","Never","Maintain current academic standing","Yes, immediately after graduation"
67,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,"11/18/2023 17:12:09","Female","18-24","Senior","Business","AUA","Employed part-time","11 to 20 hours","Yes, always","Occasionally","Yes",3.98,"Prefer studying alone","21 to 40 minutes","5 to 6 hours","Somewhat healthy","Two times","Multiple times a day","Rarely","Pursue advanced coursework or certifications","Yes, immediately after graduation"
68,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,"11/17/2023 17:29:05","Female","18-24","Graduate student",NA,"YKSC","Unemployed","31 to 40 hours","Yes, always","Rarely","No",4,"Prefer studying alone","10 to 20 minutes","5 to 6 hours","Somewhat unhealthy","Three times (breakfast, lunch, dinner)","Multiple times a day","Rarely","Improve grades in specific subjects","No, I do not plan to pursue further education"
69,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1,1,"11/17/2023 17:47:50","Female","18-24","Junior","Media and Communication Arts","WSU","Unemployed","11 to 20 hours","Yes, most of the time","Rarely","Yes",4,"Prefer studying alone","41 to one hour","Less than 5 hours","Somewhat unhealthy","Two times","Multiple times a day","Rarely","Pursue advanced coursework or certifications","Yes, immediately after graduation"
70,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,"11/19/2023 16:13:44","Female","18-24","Senior","Fashion Design","SAFA","Employed part-time","11 to 20 hours","Yes, most of the time","Rarely","No",4,"Prefer studying alone","21 to 40 minutes","7 to 8 hours","Somewhat unhealthy","Three times (breakfast, lunch, dinner)","Multiple times a day","Never","Other","Yes, but after gaining work experience"
71,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,"11/17/2023 13:49:04","Female","18-24","Graduate student","Computer Science","JGU Mainz","Unemployed","11 to 20 hours","Yes, most of the time","Never","No",2.3,"Prefer studying alone","10 to 20 minutes","More than 8 hours","Neutral","I don't have regular meal times","Occasionally","Never","Improve grades in specific subjects","Yes, immediately after graduation"
72,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,"11/17/2023 15:18:10","Female","18-24","Graduate student",NA,"EUA","Employed full-time","31 to 40 hours","Yes, most of the time","Rarely","Yes",NA,"Prefer studying alone","21 to 40 minutes","Less than 5 hours","Unhealthy","Three times (breakfast, lunch, dinner)","Rarely or never","Several times a week","Maintain current academic standing","Yes, but after gaining work experience"
73,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,"11/17/2023 17:09:57","Male","18-24","Graduate student","Quantum Technologies and Engineering","Université de Bourgogne","Unemployed","31 to 40 hours","Yes, most of the time","Rarely","Yes",NA,"Prefer studying alone","21 to 40 minutes","5 to 6 hours","Neutral","Two times","Multiple times a day","Once a week","Maintain current academic standing","No, I do not plan to pursue further education"
74,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,"11/18/2023 12:50:23","Male","18-24","Graduate student","Computer Science","MIT","Employed full-time","Less than 10 hours","Yes, always","Rarely","Yes",NA,"Enjoy occasional group study sessions","More than an hour","7 to 8 hours","Somewhat healthy","Three times (breakfast, lunch, dinner)","Daily","Daily","Maintain current academic standing","Yes, but after gaining work experience"
75,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,"11/18/2023 19:57:11","Female","18-24","Freshman","Computer Science","AUA","Unemployed","31 to 40 hours","Yes, always","Always","No",NA,"Enjoy occasional group study sessions","Less than 10 minutes","More than 8 hours","Healthy","Three times (breakfast, lunch, dinner)","I don't consume caffeinated beverages","Several times a week","Improve grades in specific subjects","Undecided"
76,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,"11/18/2023 22:31:21","Female","18-24","Freshman","Computer Science","AUA","Unemployed","31 to 40 hours","Yes, most of the time","Rarely","No",NA,"Enjoy occasional group study sessions","10 to 20 minutes","5 to 6 hours","Somewhat healthy","Two times","Rarely or never","Several times a week","Improve grades in specific subjects","Undecided"
77,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,"11/16/2023 14:44:48","Female","18-24","Sophomore","Computer Science","JGU Mainz","Employed part-time","Less than 10 hours","Occasionally","Never","No",NA,"Enjoy occasional group study sessions","10 to 20 minutes","5 to 6 hours","Somewhat unhealthy","Three times (breakfast, lunch, dinner)","Daily","Rarely","Explore new academic interests","Undecided"
78,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"11/19/2023 21:19:37","Male","18-24","Graduate student","Semiconductor Physics and Microelectronics","YSU","Employed full-time","11 to 20 hours","Yes, always","Rarely","Yes",3.7,"Enjoy occasional group study sessions","10 to 20 minutes","7 to 8 hours","Healthy","Three times (breakfast, lunch, dinner)","I don't consume caffeinated beverages","Several times a week","Explore new academic interests","Yes, but after gaining work experience"
79,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,"11/19/2023 22:13:00","Male","18-24","Senior","Computer Engineering","UC San Diego","Employed part-time","31 to 40 hours","Yes, always","Occasionally","No",3.96,"Prefer studying alone","More than an hour","7 to 8 hours","Neutral","Two times","Rarely or never","Rarely","Pursue advanced coursework or certifications","Yes, immediately after graduation"
80,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,"11/20/2023 2:15:12","Male","18-24","Sophomore","Computer Science","AUA","Unemployed","Less than 10 hours","Yes, most of the time","Rarely","No",3,"Prefer studying in a group regularly","10 to 20 minutes","7 to 8 hours","Neutral","Two times","Occasionally","Rarely","Improve grades in specific subjects","Yes, but after gaining work experience"
81,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,"11/20/2023 3:22:57","Female","18-24","Freshman","English and Communications","AUA","Unemployed","21 to 30 hours","Yes, most of the time","Rarely","Yes",NA,"Enjoy occasional group study sessions","10 to 20 minutes","Less than 5 hours","Somewhat unhealthy","Two times","Multiple times a day","Daily","Pursue advanced coursework or certifications","Yes, immediately after graduation"
82,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,"11/20/2023 11:48:56","Female","18-24","Junior","Data Science","AUA","Employed part-time","11 to 20 hours","Yes, always","Never","No",3.89,"Prefer studying alone","41 to one hour","5 to 6 hours","Somewhat unhealthy","Two times","Daily","Several times a week","Improve grades in specific subjects","Yes, but after gaining work experience"
83,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,1,"11/20/2023 12:30:55","Female","18-24","Junior","Politics and Governance","AUA","Employed full-time","11 to 20 hours","Yes, always","Occasionally","Yes",3.94,"Prefer studying alone","21 to 40 minutes","7 to 8 hours","Somewhat healthy","Two times","Multiple times a day","Several times a week","Maintain current academic standing","Yes, but after gaining work experience"
84,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,"11/20/2023 12:55:59","Male","18-24","Sophomore","Computer Science","AUA","Unemployed","21 to 30 hours","Yes, always","Frequently","Yes",3.07,"Enjoy occasional group study sessions","21 to 40 minutes","5 to 6 hours","Somewhat healthy","Four or more times","Multiple times a day","Several times a week","Improve grades in specific subjects","Undecided"
85,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,"11/20/2023 13:03:38","Male","18-24","Sophomore","Engineering Science","AUA","Unemployed","21 to 30 hours","Occasionally","Rarely","No",2.6,"Enjoy occasional group study sessions","10 to 20 minutes","5 to 6 hours","Unhealthy","Two times","Multiple times a day","Several times a week","Improve grades in specific subjects","Undecided"
86,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,"11/20/2023 13:33:25","Male","18-24","Junior","Data Science","AUA","Unemployed","11 to 20 hours","Yes, most of the time","Rarely","Yes",2.3,"Prefer studying alone","21 to 40 minutes","7 to 8 hours","Healthy","Three times (breakfast, lunch, dinner)","Occasionally","Several times a week","Improve grades in specific subjects","Yes, but after gaining work experience"
87,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,"11/20/2023 14:05:39","Male","18-24","Graduate student","Physics","UBFC","Unemployed","Less than 10 hours","Occasionally","Occasionally","Yes",2.2,"Enjoy occasional group study sessions","10 to 20 minutes","7 to 8 hours","Healthy","Two times","Multiple times a day","Several times a week","Pursue advanced coursework or certifications","Yes, but after gaining work experience"
88,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,"11/20/2023 16:54:31","Female","18-24","Senior","English and Communications","AUA","Employed full-time","21 to 30 hours","Yes, always","Occasionally","Yes",3.9,"Prefer studying alone","10 to 20 minutes","7 to 8 hours","Somewhat healthy","Three times (breakfast, lunch, dinner)","Occasionally","Daily","Pursue advanced coursework or certifications","Yes, immediately after graduation"
89,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1,1,"11/20/2023 18:10:08","Female","18-24","Junior","English and Communications","AUA","Employed part-time","Less than 10 hours","Yes, most of the time","Occasionally","Yes",3.5,"Prefer studying alone","10 to 20 minutes","7 to 8 hours","Somewhat healthy","Two times","Multiple times a day","Several times a week","Pursue advanced coursework or certifications","Yes, immediately after graduation"
90,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,"11/21/2023 9:56:51","Male","18-24","Senior","English and Communications","AUA","Unemployed","11 to 20 hours","Yes, most of the time","Occasionally","Yes",3.85,"Enjoy occasional group study sessions","41 to one hour","7 to 8 hours","Somewhat healthy","I don't have regular meal times","Rarely or never","Rarely","Improve grades in specific subjects","Yes, immediately after graduation"
91,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,"11/21/2023 13:11:14","Female","18-24","Graduate student","Management","AUA","Unemployed","21 to 30 hours","Yes, always","Occasionally","No",3.54,"Enjoy occasional group study sessions","21 to 40 minutes","5 to 6 hours","Somewhat unhealthy","I don't have regular meal times","Daily","Rarely","Pursue advanced coursework or certifications","No, I do not plan to pursue further education"
92,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,"11/21/2023 17:00:23","Female","18-24","Graduate student","Physics","Université Paris-Saclay","Unemployed","11 to 20 hours","Yes, always","Occasionally","Yes",2,"Prefer studying alone","21 to 40 minutes","5 to 6 hours","Neutral","Three times (breakfast, lunch, dinner)","Multiple times a day","Daily","Improve grades in specific subjects","Yes, immediately after graduation"
93,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,"11/22/2023 9:28:46","Male","18-24","Sophomore","Politics and Governance","AUA","Unemployed","11 to 20 hours","Yes, most of the time","Frequently","No",3.2,"Enjoy occasional group study sessions","21 to 40 minutes","5 to 6 hours","Neutral","Three times (breakfast, lunch, dinner)","Daily","Several times a week","Explore new academic interests","Yes, immediately after graduation"
94,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,"11/22/2023 13:43:29","Female","18-24","Senior","Actuarial Mathematics","ASUE","Unemployed","21 to 30 hours","Yes, always","Occasionally","No",3.79,"Enjoy occasional group study sessions","21 to 40 minutes","5 to 6 hours","Unhealthy","Two times","Multiple times a day","Rarely","Pursue advanced coursework or certifications","Yes, but after gaining work experience"
95,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,"11/22/2023 18:57:14","Female","18-24","Graduate student","Translations","BSY","Employed full-time","Less than 10 hours","Occasionally","Occasionally","No",2.15,"Prefer studying alone","More than an hour","5 to 6 hours","Neutral","I don't have regular meal times","Multiple times a day","Never","Maintain current academic standing","Undecided"
